primary_description,total_incidents,total_arrests,arrest_rate_pct,rank_by_arrest_rate
CONCEALED CARRY LICENSE VIOLATION,220,214,97.27,1
NARCOTICS,6717,6315,94.02,2
LIQUOR LAW VIOLATION,190,178,93.68,3
INTERFERENCE WITH PUBLIC OFFICER,910,829,91.10,4
PROSTITUTION,189,170,89.95,5
WEAPONS VIOLATION,5051,3893,77.07,6
PUBLIC PEACE VIOLATION,1078,552,51.21,7
CRIMINAL TRESPASS,5352,1727,32.27,8
HOMICIDE,416,114,27.40,9
BATTERY,42446,8054,18.97,10
OTHER OFFENSE,15911,2861,17.98,11
ASSAULT,21248,2656,12.50,12
ARSON,350,38,10.86,13
ROBBERY,5365,499,9.30,14
THEFT,53079,4679,8.82,15
SEX OFFENSE,1283,100,7.79,16
OFFENSE INVOLVING CHILDREN,1519,106,6.98,17
STALKING,577,25,4.33,18
CRIMINAL DAMAGE,26117,1109,4.25,19
BURGLARY,11113,423,3.81,20
MOTOR VEHICLE THEFT,17649,565,3.20,21
DECEPTIVE PRACTICE,13808,394,2.85,22
CRIMINAL SEXUAL ASSAULT,1625,44,2.71,23
INTIMIDATION,180,1,0.56,24
